Country Name,HDI,CT,SMR,W-NP,GDP,TS,M-Imp,M-Exp,EB-GS,PSE,SSE,HE/c,IM-DPT,MR<5
Ghana,0.575,2,6.9,10.9,3.985865624,17.32871925,1400200000.00,13216770000.00,-11.54747061,88.55256653,89,57.89263246,98,63.4
Sao Tome and Principe,0.565,2,5,18.2,6.207681734,24,169715000.00,17220000.00,-7.062534613,95.0563736,84.93818665,165.5537174,95,36.8
Cambodia,0.558,2,11.9,20.3,7.071525352,27,11871229000.00,6846019000.00,-4.427219479,94.70745087,85.94788962,61.28475128,88,33.7
Nepal,0.555,2,6,29.5,5.988984661,12.92636873,7561139000.00,888956000.00,-17,94.46533966,87,39.86817954,92,38
Myanmar,0.552,2,6,5.6,7.991243344,8.219482189,1622610000.00,11452700000.00,-5.756423386,94.52787781,85.94788962,20.28780579,88,54.8
Kenya,0.55,2,6.5,19.1,5.351839858,12.80605405,1839629900.00,6114950000.00,-11.06788341,90.66306105,85.94788962,77.69658603,92,53.5
Pakistan,0.55,2,5,20.7,4.674707981,5.847089554,4743440000.00,24705500000.00,-6.434104114,90,85,36.15485065,72,70
Swaziland,0.541,3,14.7,6.2,4.246115263,20.93946479,1690000000.00,1902000000.00,-0.423170859,90,85.94788962,247.8964248,98,70
"Yemen, Rep.",0.499,3,8.2,0.3,-0.188690232,10.2940688,12042000000.00,7800000000.00,-12.24437337,90.66306105,85.94788962,79.93696624,73,55.3
Lesotho,0.495,3,10.4,26.7,2.277474893,14.23985398,2144010028.78,826382256.65,-20,92,89,105.1127528,93,68
Rwanda,0.493,3,8.5,63.8,7.619610159,14.720493,2468290000.00,723100000.00,-20,96.21962738,85,52.48366269,98,43.4
Senegal,0.491,3,6.1,43.3,4.311051022,18.09668985,6502674171.00,2750172137.00,-16.92303442,92,85,49.53139304,89,52.3
Haiti,0.49,3,11.2,4.2,2.810148498,20.48207725,3745570000.00,846120000.00,-20,90.66306105,85.94788962,61.45512168,90,63
Uganda,0.488,3,7.1,35,5.246819027,16.87806125,6073528000.00,2261964000.00,-10.92484599,90.66306105,87,52.29424027,78,60.1
Togo,0.484,3,9.5,17.6,5.871726319,20.4083288,2529454000.00,1325809000.00,-17,91.16780853,85.94788962,33.89092289,87,60
Benin,0.481,3,9.3,8.4,6.357520953,14.05091664,3823306331.73,2563231293.55,-11.57493321,95.86662292,87,37.88944806,78,70
Afghanistan,0.479,3,5.5,27.7,1.312530908,15.38727501,7697178000.00,570534000.00,-20,90.66306105,89,56.57452735,90,65
Mali,0.438,3,5.7,9.5,7.043356204,18.79503725,3913918469.30,2779446416.47,-7.285262035,90,88,47.76513899,73,70
Liberia,0.427,3,6.3,11,0.701141636,73.13249108,2100300000.00,587100000.00,-20,90,88,46.27042196,90,62
"Congo, Dem. Rep.",0.425,3,9.6,10.6,9,9.982920175,6600000000.00,6900000000.00,-20,90.66306105,85.94788962,19.0536902,80,70
Mozambique,0.414,3,8.4,20.85598308,7.443837429,25.83536918,9280534000.00,4420530000.00,-19,87.55632782,81,41.99657338,79,69
Burkina Faso,0.399,3,9.2,18.9,4.185944746,14.2016116,3580797508.17,2452675174.03,-14.47563207,90,81,35.19599866,91,69
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
